etch_depth_um,duty_cycle,coupling_efficiency_max,coupling_efficiency_argmax_wl_um,coupling_efficiency_mean,passivity_passed
0.08,0.2,0.043958372395955646,1.4019971469329529,0.011047153148180295,True
0.08,0.3,0.03211059672702267,1.370329057445622,0.013697861992366937,True
0.08,0.4,0.021978104324638387,1.4019971469329529,0.007316242599613071,True
0.08,0.5,0.005080054686496096,1.4019971469329529,0.00298129765572763,True
0.08,0.6,0.01941050311016008,1.3993023421371111,0.006514665064015696,True
0.08,0.7,0.027412303758778088,1.4019971469329529,0.0045953300670819736,True
0.1,0.2,0.39012740909836907,1.4019971469329529,0.10264726562225034,True
0.1,0.3,0.31491599548092825,1.4019971469329529,0.0859477065248479,True
0.1,0.4,0.20819292900922498,1.4019971469329529,0.048602835855313616,True
0.1,0.5,0.06366932426695526,1.4019971469329529,0.01230185400995323,True
0.1,0.6,0.030123556089685425,1.3807249227311043,0.015890231698775313,True
0.1,0.7,0.05201808784857254,1.4019971469329529,0.018736760201194094,True
0.12,0.2,0.3946247884925031,1.3600885690561861,0.22082311046677702,True
0.12,0.3,0.4057821481802489,1.3781111968029167,0.23734915757719444,True
0.12,0.4,0.4115121149807391,1.393943691936742,0.1961932043321585,True
0.12,0.5,0.36436015928203686,1.4019971469329529,0.07784889755021457,True
0.12,0.6,0.041630731144517104,1.3575523171489745,0.026009752921478602,True
0.12,0.7,0.06475458095147729,1.3859822309970384,0.04015316257330398,True
0.14,0.2,0.42326656813091806,1.306393725907218,0.1623672288638653,True
0.14,0.3,0.40573867032593675,1.3302652950730915,0.2564173754968196,True
0.14,0.4,0.4067504207654952,1.3475011996983617,0.28580059609047825,True
0.14,0.5,0.4203947507381408,1.3781111968029167,0.2107275745291445,True
0.14,0.6,0.26559719290871553,1.4019971469329529,0.05866383301739096,True
0.14,0.7,0.07675972924447273,1.36263431542461,0.06453324671207893,True
0.16,0.2,0.0517569471657099,1.301721854304636,0.03187422953812246,True
0.16,0.3,0.22204328404660859,1.301721854304636,0.09178036226666271,True
0.16,0.4,0.4018737484068047,1.301721854304636,0.17157496194823527,True
0.16,0.5,0.42161211735777343,1.3375978223885676,0.2611325665095962,True
0.16,0.6,0.43296744186914277,1.3966178769361943,0.13699547172264911,True
0.16,0.7,0.08857048785854019,1.3375978223885676,0.07890223844599932,True
0.18,0.2,0.03636899458552973,1.301721854304636,0.015666269401274364,True
0.18,0.3,0.06311822225610697,1.301721854304636,0.037706157689526364,True
0.18,0.4,0.0861547959641212,1.301721854304636,0.05818450143710623,True
0.18,0.5,0.43009646230559473,1.301721854304636,0.16159936607944284,True
0.18,0.6,0.42670316825417365,1.3755073477956612,0.18557565019694372,True
0.18,0.7,0.09857902249118472,1.3087422598042482,0.07969778417167513,True
