iteration,objective,L_upper,grad_L_upper,delta_L_delay_um,grad_delta_L_delay_um,Lc0,grad_Lc0,Lc1,grad_Lc1,Lc2,grad_Lc2,Lc3,grad_Lc3,channel1_transmission,channel1_crosstalk,channel1_insertion_loss_db,channel1_flatness_var,channel2_transmission,channel2_crosstalk,channel2_insertion_loss_db,channel2_flatness_var
0,149.3884735107422,26.0,78.7738037109375,15.0,-36.256622314453125,26.0,-12.034059524536133,2.0,14.035274505615234,18.0,-6.169328689575195,14.0,-0.16499900817871094,0.10093758255243301,0.7462934255599976,14.812638282775879,0.015606038272380829,0.37132877111434937,0.4996200501918793,4.326456546783447,0.0015201864298433065
1,26.019983291625977,25.950000000006348,797.5545654296875,15.049999999986209,-805.9329223632812,25.5,-2.2496767044067383,2.5,2.8276588916778564,18.049999999918953,-2.567091941833496,14.04999999696968,0.2772519588470459,0.43835338950157166,0.4238869249820709,5.02056884765625,0.07313989847898483,0.6053215265274048,0.2568560838699341,2.4096221923828125,0.03679608181118965
2,3.2481024265289307,25.909681745162985,56.00391387939453,15.088674211415881,-54.81122589111328,25.5,0.3833310604095459,2.5,-5.205544471740723,18.095229633390897,6.611014366149902,14.035150046510317,0.5957567095756531,0.6418727040290833,0.21881672739982605,1.9742196798324585,0.00859188474714756,0.7680639028549194,0.08086837828159332,1.1718966960906982,0.007097072433680296
3,4.987678527832031,25.876363821517756,-114.90641021728516,15.120666829609648,123.8809585571289,25.5,0.4729125499725342,2.5,6.310604095458984,18.097597545964636,1.258050560951233,14.001595790629661,0.47951412200927734,0.5882951617240906,0.2515629827976227,2.5125672817230225,0.027134573087096214,0.8122015595436096,0.018264302983880043,0.9206032156944275,0.005223307758569717
4,17.467161178588867,25.853465321497644,-598.6893310546875,15.142165922962949,534.0322265625,25.5,0.16221725940704346,2.5,-9.451336860656738,18.095661864754177,-11.178685188293457,13.962372366560702,0.03523373603820801,0.4534499943256378,0.3954475522041321,4.491455554962158,0.05607079342007637,0.8249664306640625,0.011364331468939781,0.8542472720146179,0.005916989408433437
5,17.052675247192383,25.854105302319148,-582.332763671875,15.14245057109232,516.0260009765625,25.5,0.17651909589767456,2.5,-10.101607322692871,18.115415213920233,-10.398120880126953,13.928091717946673,-1.5401091575622559,0.45876654982566833,0.39511507749557495,4.427215576171875,0.05687280744314194,0.8301533460617065,0.011187809519469738,0.8269234299659729,0.005946581717580557
6,7.831353664398193,25.86765132216528,-223.4485321044922,15.130459758056855,196.24826049804688,25.5,0.49181926250457764,2.508681719395908,-2.8331844806671143,18.144410957170834,-5.608315944671631,13.937063797335691,-0.5432974100112915,0.5510454177856445,0.30250081419944763,3.0409932136535645,0.044798459857702255,0.8316503167152405,0.012329218909144402,0.8224725723266602,0.00707846786826849
7,3.7433645725250244,25.884046906183144,-69.79617309570312,15.115714766072735,59.28034973144531,25.5,0.39894431829452515,2.5195087107270666,1.4019267559051514,18.176131325293433,-5.059659004211426,13.952059224695466,0.018496811389923096,0.6261897683143616,0.22682024538516998,2.1713714599609375,0.02155199646949768,0.8211098909378052,0.026609836146235466,0.8754484057426453,0.006126842461526394
8,2.7023942470550537,25.899934976755873,-0.7698814868927002,15.10142387334526,-5.113702774047852,25.5,0.36358559131622314,2.52743232372436,2.9165561199188232,18.209576514396453,-5.472304344177246,13.965027390781652,0.20399335026741028,0.6491628885269165,0.20493386685848236,1.9062974452972412,0.005805715918540955,0.7975988984107971,0.05510380491614342,0.99028080701828,0.0023968140594661236
9,3.3445067405700684,25.914055264573197,58.95375442504883,15.08884896973825,-71.05211639404297,25.5,0.38919341564178467,2.531147451463337,-0.2842763066291809,18.244774674611975,-5.884704113006592,13.973760231448418,0.02086162567138672,0.6285495162010193,0.22978757321834564,2.0581107139587402,0.006397834978997707,0.7654281258583069,0.09295789152383804,1.1719516515731812,0.003029301529750228
10,5.2232890129089355,25.92543742991562,130.9549560546875,15.079181919220517,-154.25851440429688,25.5,0.34774652123451233,2.534777542242374,-6.87851095199585,18.281708852800353,-5.498402118682861,13.981278931450195,-0.5907308459281921,0.5912512540817261,0.2749670147895813,2.429185628890991,0.019337669014930725,0.7337231040000916,0.13067589700222015,1.3861178159713745,0.010521098040044308
11,7.147128582000732,25.932928634466315,192.9013671875,15.073882972825043,-215.56417846679688,25.5,0.2457258701324463,2.5451140328096598,-10.993021011352539,18.319830165567115,-1.4420056343078613,13.995067502419584,-1.054503321647644,0.5611112117767334,0.31399568915367126,2.7716164588928223,0.0303278099745512,0.7088936567306519,0.1576472669839859,1.5567820072174072,0.014543259516358376
12,7.6794538497924805,25.935731431573778,207.6951446533203,15.073706116521594,-202.9087371826172,25.5,0.25964227318763733,2.563905812516328,-4.5782928466796875,18.355625291287822,7.659286022186279,14.017487599460374,-0.2714056968688965,0.5476058125495911,0.3233315050601959,2.8963406085968018,0.0302987489849329,0.6953948140144348,0.1645583063364029,1.625113844871521,0.010232302360236645
13,6.976619720458984,25.93413350252214,178.6028289794922,15.077730856480551,-143.38580322265625,25.5,0.37746182084083557,2.584852813040679,8.070516586303711,18.378064035550207,12.223764419555664,14.040499735017686,1.089057445526123,0.555780827999115,0.2970046401023865,2.790522813796997,0.025366181507706642,0.7044328451156616,0.14980585873126984,1.5574495792388916,0.0075013404712080956
14,5.669905185699463,25.92921325818222,128.9991455078125,15.084284019943285,-91.67816925048828,25.5,0.44733762741088867,2.59569439674673,11.156769752502441,18.384650565899403,9.644022941589355,14.048482941891132,1.6732463836669922,0.5837164521217346,0.2587226629257202,2.522860288619995,0.021797364577651024,0.7286720871925354,0.12178068608045578,1.409738540649414,0.007620275020599365
15,4.368919372558594,25.922262341547363,79.64519500732422,15.092083738315884,-52.60883331298828,25.5,0.4560900032520294,2.5954876917511824,8.413019180297852,18.381815026130635,6.374068737030029,14.040818106438666,1.4980477094650269,0.6136070489883423,0.22509993612766266,2.2450315952301025,0.017439590767025948,0.7547928094863892,0.09192495793104172,1.2528096437454224,0.007297630421817303
16,3.5014755725860596,25.914411097542793,39.12745666503906,15.10023460997743,-23.464237213134766,25.5,0.43919146060943604,2.588539868077516,4.583132743835449,18.373844194712905,4.004981994628906,14.023624052295576,0.8509183526039124,0.6334191560745239,0.20401093363761902,2.062488317489624,0.013227373361587524,0.7772939801216125,0.06637836992740631,1.1199700832366943,0.006606470327824354
17,3.165459394454956,25.906516598262655,5.879167079925537,15.108118112620517,0.1508285105228424,25.499451694906806,0.4305579662322998,2.578631441673668,1.2231680154800415,18.363253978554226,2.3830184936523438,14.002412324711452,-0.006169617176055908,0.6388469934463501,0.19796787202358246,2.0099399089813232,0.011594889685511589,0.7946563959121704,0.04680755361914635,1.0206726789474487,0.006194733083248138
18,3.301136016845703,25.89922985972662,-24.448396682739258,15.115274323246773,23.37828826904297,25.498079254273783,0.4469119906425476,2.5686513004665437,-1.3170900344848633,18.351617773080513,1.5314081907272339,13.983193571544643,-0.8045248985290527,0.6311303377151489,0.20505273342132568,2.077181100845337,0.013458329252898693,0.806948184967041,0.032964397221803665,0.952398419380188,0.0060561769641935825
19,3.762453556060791,25.8931017283085,-54.48192596435547,15.12127984344829,48.39692306518555,25.49591640673044,0.48138391971588135,2.560663598354308,-3.274773359298706,18.339727667660522,1.3140058517456055,13.971905527363704,-0.9760206341743469,0.6157096028327942,0.22044947743415833,2.220282793045044,0.017348304390907288,0.815674901008606,0.02403378114104271,0.9048718810081482,0.006007499061524868
20,4.3321661949157715,25.888643356681072,-81.88230895996094,15.125697800632143,72.24968719482422,25.49295444276398,0.5156073570251465,2.5561243953792174,-4.903742790222168,18.327774401045318,1.4685078859329224,13.968768396254646,-0.967609703540802,0.5996982455253601,0.2372639924287796,2.3758997917175293,0.021084407344460487,0.8220605850219727,0.018938666209578514,0.8711077570915222,0.006148036103695631
